"Top Level Organization","Opportunity Owner","Created By","Opportunity Name","Brand/Logo","Opportunity Record Type","Stage","? Estimated ACV","Expansion ACV Increase","?Opportunity Locations","Location Cohort","Created Date","Close Date","Age","Lead Source","Trade Show","Opportunity Notes","Loss Reason Notes","?Type of Contract","Count Balance","Count Base/Insights","Count Compass","Count Guard","Count Recover","Count Re-engage","Count TruROI","Count TruROI+","Count White Glove"
"Huey Magoos","Sarra Herlich","Peter Milillo","Huey Magoo - Franchisee - 4","","New Business","Demo","2400.00","","4","SMB","2/10/2026","3/10/2026","24.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Centennial Hospitality Group","Alexis Marrero","Alexis Marrero","Centennial Hospitality Group - Expansion - All Logos","","Expansion","Closed Won","13680.00","13680.00","","Unknown","3/4/2026","3/4/2026","0.0000000000","Expansion","","","","Standard","0","0","0","0","0","0","0","0","0"
"Craveworthy","Alexis Marrero","Alexis Marrero","Craveworthy Plan Gen Pilot (Taim)","Taim Mediterranean Kitchen","Expansion","Pilot","18000.00","","10","MM","10/3/2025","2/11/2026","154.0000000000","Expansion","","","","Standard","0","0","0","0","0","0","0","1","0"
"Dog Haus","Devyn Schwartzberg","Devyn Schwartzberg","Dog Haus Corp - TruROI+","Dog Haus","Expansion","Closed Won","8640.00","","6","SMB","2/18/2026","2/23/2026","5.0000000000","Expansion","","","","Standard","0","0","0","0","0","0","1","1","0"
"Islands Restaurants","Charles Kagahastian","Charles Kagahastian","Islands Restaurants - Islands Restaurant -","Islands Restaurant","New Business","Proposal","46800.00","","39","MM","2/17/2026","3/19/2026","17.0000000000","Self Sourced","","","","Standard","0","0","0","0","0","0","0","1","0"
"JCK Birds, LLC","Alexis Marrero","Alexis Marrero","JCK Birds, LLC - Expansion - Carl's Jr","Carl's Jr","Expansion","Closed Won","28656.00","","12","MM","2/27/2026","3/3/2026","4.0000000000","Expansion","","","","Opt Out","0","0","0","0","0","0","0","1","0"
"Maman","James Chavious","James Chavious","Maman -TruROI+","Maman","New Business","Closed Lost","59400.00","","44","MM","10/17/2025","1/5/2026","80.0000000000","Self Sourced","","","champion blocked us","Standard","0","0","0","0","0","0","0","1","0"
"Bauer Foods LLC","Sarra Herlich","Sarra Herlich","Bauer Foods LLC - Expansion - All Logos","","Expansion","Closed Won","6000.00","","10","MM","2/2/2026","2/2/2026","0.0000000000","Expansion","","","","Standard","0","0","0","0","0","0","0","0","0"
"Bauer Foods LLC","Sarra Herlich","Sarra Herlich","Bauer Foods LLC - Expansion - McDonald's","McDonald's","Expansion","Closed Won","8940.00","","5","SMB","2/2/2026","2/2/2026","0.0000000000","Expansion","","","","Standard","0","0","0","0","0","0","0","0","0"
"McDonald's WBF","James Chavious","James Chavious","WBF_Expansion - 5 loc add-on","McDonald's","Expansion","Closed Won","4140.00","","5","SMB","1/2/2026","1/2/2026","0.0000000000","Expansion","","","","Standard","0","0","0","1","1","0","0","0","0"
